cassava,taro,sp,mean,worst,severe,eff_n
15,75,10,3.119397,-58.676223,8,2.076301
15,80,5,2.37615,-62.644229,11,1.84572
15,85,0,1.461397,-66.42498,13,1.52609
20,0,80,9.550814,-43.128041,4,1.649385
20,5,75,9.104801,-35.704113,4,1.98861
20,10,70,8.673637,-31.855499,5,2.229592
20,15,65,8.253455,-28.588144,5,2.426535
20,20,60,7.841027,-25.779613,5,2.586409
20,25,55,7.433293,-23.339599,6,2.710875
20,30,50,7.027065,-21.200037,4,2.800094
20,35,45,6.618806,-24.309264,4,2.853807
20,40,40,6.204387,-29.994,4,2.871746
20,45,35,5.778798,-35.362301,4,2.853807
20,50,30,5.335721,-40.43987,5,2.800094
20,55,25,4.866912,-45.249704,6,2.710875
20,60,20,4.36121,-49.812435,7,2.586409
20,65,15,3.802922,-54.146627,7,2.426535
