event_id,country,year,strategy,harvest_outcome_pct,downside_pct,rain_anomaly
Niue_1998,Niue,1998,mixed_equal,6.262061,0,-23.5
Niue_2002,Niue,2002,cassava_only,-9.800562,9.800562,-18.7
Niue_2002,Niue,2002,taro_only,22.562503,0,-18.7
Niue_2002,Niue,2002,sweet_potato_only,0.523537,0,-18.7
Niue_2002,Niue,2002,mixed_equal,2.987462,0,-18.7
Niue_2014,Niue,2014,cassava_only,13.917938,0,-11.0
Niue_2014,Niue,2014,taro_only,-1.342411,1.342411,-11.0
Niue_2014,Niue,2014,sweet_potato_only,-11.248648,11.248648,-11.0
Niue_2014,Niue,2014,mixed_equal,-4.474317,4.474317,-11.0
Papua New Guinea_1979,Papua New Guinea,1979,cassava_only,0.311891,0,-11.1
Papua New Guinea_1979,Papua New Guinea,1979,taro_only,-0.254322,0.254322,-11.1
Papua New Guinea_1979,Papua New Guinea,1979,sweet_potato_only,1.387437,0,-11.1
Papua New Guinea_1979,Papua New Guinea,1979,mixed_equal,0.358759,0,-11.1
Papua New Guinea_1982,Papua New Guinea,1982,cassava_only,0.32916,0,-17.7
Papua New Guinea_1982,Papua New Guinea,1982,taro_only,0.034413,0,-17.7
Papua New Guinea_1982,Papua New Guinea,1982,sweet_potato_only,0.837854,0,-17.7
Papua New Guinea_1982,Papua New Guinea,1982,mixed_equal,0.343576,0,-17.7
Papua New Guinea_1987,Papua New Guinea,1987,cassava_only,2.335584,0,-10.0
Papua New Guinea_1987,Papua New Guinea,1987,taro_only,1.19985,0,-10.0
Papua New Guinea_1987,Papua New Guinea,1987,sweet_potato_only,4.018273,0,-10.0
Papua New Guinea_1987,Papua New Guinea,1987,mixed_equal,2.336488,0,-10.0
Papua New Guinea_1991,Papua New Guinea,1991,cassava_only,3.448004,0,-8.1
Papua New Guinea_1991,Papua New Guinea,1991,taro_only,-3.444815,3.444815,-8.1
Papua New Guinea_1991,Papua New Guinea,1991,sweet_potato_only,1.227365,0,-8.1
Papua New Guinea_1991,Papua New Guinea,1991,mixed_equal,0.805898,0,-8.1
Papua New Guinea_1992,Papua New Guinea,1992,cassava_only,4.430944,0,-14.3
Papua New Guinea_1992,Papua New Guinea,1992,taro_only,-3.632323,3.632323,-14.3
Papua New Guinea_1992,Papua New Guinea,1992,sweet_potato_only,1.920775,0,-14.3
Papua New Guinea_1992,Papua New Guinea,1992,mixed_equal,1.355712,0,-14.3
Papua New Guinea_1993,Papua New Guinea,1993,cassava_only,4.551921,0,-18.7
Papua New Guinea_1993,Papua New Guinea,1993,taro_only,-3.90603,3.90603,-18.7
Papua New Guinea_1993,Papua New Guinea,1993,sweet_potato_only,2.607565,0,-18.7
Papua New Guinea_1993,Papua New Guinea,1993,mixed_equal,1.471133,0,-18.7
Papua New Guinea_1994,Papua New Guinea,1994,cassava_only,6.479379,0,-10.2
Papua New Guinea_1994,Papua New Guinea,1994,taro_only,-2.626284,2.626284,-10.2
Papua New Guinea_1994,Papua New Guinea,1994,sweet_potato_only,-4.165982,4.165982,-10.2
Papua New Guinea_1994,Papua New Guinea,1994,mixed_equal,1.312146,0,-10.2
Papua New Guinea_1997,Papua New Guinea,1997,cassava_only,4.789721,0,-26.7
Papua New Guinea_1997,Papua New Guinea,1997,taro_only,-12.843687,12.843687,-26.7
Papua New Guinea_1997,Papua New Guinea,1997,sweet_potato_only,-3.133831,3.133831,-26.7
Papua New Guinea_1997,Papua New Guinea,1997,mixed_equal,-2.500682,2.500682,-26.7
Papua New Guinea_2004,Papua New Guinea,2004,cassava_only,-1.368274,1.368274,-9.2
Papua New Guinea_2004,Papua New Guinea,2004,taro_only,-6.56568,6.56568,-9.2
Papua New Guinea_2004,Papua New Guinea,2004,sweet_potato_only,2.55753,0,-9.2
Papua New Guinea_2004,Papua New Guinea,2004,mixed_equal,-2.146091,2.146091,-9.2
Papua New Guinea_2015,Papua New Guinea,2015,cassava_only,-1.96392,1.96392,-20.2
Papua New Guinea_2015,Papua New Guinea,2015,taro_only,5.801573,0,-20.2
Papua New Guinea_2015,Papua New Guinea,2015,sweet_potato_only,0.253217,0,-20.2
Papua New Guinea_2015,Papua New Guinea,2015,mixed_equal,1.022668,0,-20.2
Solomon Islands_1987,Solomon Islands,1987,cassava_only,19.427516,0,-22.0
Solomon Islands_1987,Solomon Islands,1987,taro_only,25.077395,0,-22.0
Solomon Islands_1987,Solomon Islands,1987,sweet_potato_only,4.732085,0,-22.0
Solomon Islands_1987,Solomon Islands,1987,mixed_equal,17.154121,0,-22.0
Solomon Islands_1989,Solomon Islands,1989,cassava_only,18.772225,0,-11.0
Solomon Islands_1989,Solomon Islands,1989,taro_only,26.094397,0,-11.0
Solomon Islands_1989,Solomon Islands,1989,sweet_potato_only,7.619074,0,-11.0
Solomon Islands_1989,Solomon Islands,1989,mixed_equal,18.257373,0,-11.0
Solomon Islands_1992,Solomon Islands,1992,cassava_only,24.682415,0,-18.9
Solomon Islands_1992,Solomon Islands,1992,taro_only,25.472886,0,-18.9
Solomon Islands_1992,Solomon Islands,1992,sweet_potato_only,10.956172,0,-18.9
Solomon Islands_1992,Solomon Islands,1992,mixed_equal,20.848273,0,-18.9
Solomon Islands_1993,Solomon Islands,1993,cassava_only,24.434697,0,-20.4
Solomon Islands_1993,Solomon Islands,1993,taro_only,25.318938,0,-20.4
Solomon Islands_1993,Solomon Islands,1993,sweet_potato_only,11.412544,0,-20.4
Solomon Islands_1993,Solomon Islands,1993,mixed_equal,20.861383,0,-20.4
Solomon Islands_1994,Solomon Islands,1994,cassava_only,20.432992,0,-8.4
Solomon Islands_1994,Solomon Islands,1994,taro_only,24.954,0,-8.4
Solomon Islands_1994,Solomon Islands,1994,sweet_potato_only,10.983902,0,-8.4
Solomon Islands_1994,Solomon Islands,1994,mixed_equal,19.365245,0,-8.4
Solomon Islands_1995,Solomon Islands,1995,cassava_only,17.924017,0,-12.0
Solomon Islands_1995,Solomon Islands,1995,taro_only,24.297969,0,-12.0
Solomon Islands_1995,Solomon Islands,1995,sweet_potato_only,10.549812,0,-12.0
Solomon Islands_1995,Solomon Islands,1995,mixed_equal,18.206537,0,-12.0
Solomon Islands_1997,Solomon Islands,1997,cassava_only,12.465612,0,-28.0
Solomon Islands_1997,Solomon Islands,1997,taro_only,13.18685,0,-28.0
Solomon Islands_1997,Solomon Islands,1997,sweet_potato_only,11.151013,0,-28.0
Solomon Islands_1997,Solomon Islands,1997,mixed_equal,12.355536,0,-28.0
Solomon Islands_2003,Solomon Islands,2003,cassava_only,8.712754,0,-10.5
Solomon Islands_2003,Solomon Islands,2003,taro_only,9.043683,0,-10.5
Solomon Islands_2003,Solomon Islands,2003,sweet_potato_only,3.3273,0,-10.5
Solomon Islands_2003,Solomon Islands,2003,mixed_equal,7.269119,0,-10.5
Solomon Islands_2005,Solomon Islands,2005,cassava_only,6.748754,0,-10.3
Solomon Islands_2005,Solomon Islands,2005,taro_only,7.696608,0,-10.3
Solomon Islands_2005,Solomon Islands,2005,sweet_potato_only,1.385092,0,-10.3
Solomon Islands_2005,Solomon Islands,2005,mixed_equal,5.558253,0,-10.3
